* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-01-26 13:45:11 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\Acropora22_proj\EDS files\acer_20221214.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-12-14 15:28:29 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Melt Curve Result]
Well	Well Position	Sample	Target Name	Tm	Melt Peak Height
1	A1	16	CAM	75.680	63,376.648
2	A2	16	CAM	75.527	66,635.547
3	A3	16	SYM	87.905	51,793.062
4	A4	16	SYM	87.905	44,548.543
5	A5	47	CAM	75.375	84,468.562
6	A6	47	CAM	75.375	90,163.250
7	A7	47	SYM	87.713	56,764.977
8	A8	47	SYM	87.865	56,317.574
9	A9	56	CAM	75.258	89,601.578
10	A10	56	CAM	75.410	94,218.641
11	A11	56	SYM	87.713	56,517.125
12	A12	56	SYM	87.713	55,338.289
13	B1	17	CAM	74.766	36,815.656
14	B2	17	CAM	75.375	70,576.547
15	B3	17	SYM	87.752	41,184.664
16	B4	17	SYM	87.600	38,700.586
17	B5	53	CAM	75.375	77,408.688
18	B6	53	CAM	75.375	74,573.695
19	B7	53	SYM	87.713	51,586.191
20	B8	53	SYM	87.713	45,770.781
21	B9	43	CAM	75.258	58,637.664
22	B10	43	CAM	75.410	65,436.703
23	B11	43	SYM	87.409	38,503.434
24	B12	43	SYM	87.561	43,131.598
25	C1	18	CAM	75.223	59,309.602
26	C2	18	CAM	75.223	47,878.926
27	C3	18	SYM	87.752	43,912.176
28	C4	18	SYM	87.600	38,822.254
29	C5	23	CAM	75.375	76,327.812
30	C6	23	CAM	75.375	81,937.820
31	C7	23	SYM	87.713	48,557.102
32	C8	23	SYM	87.408	42,504.633
33	C9	59	CAM	75.410	73,062.766
34	C10	59	CAM	75.410	73,680.570
35	C11	59	SYM	87.409	42,341.359
36	C12	59	SYM	87.561	48,691.363
37	D1	19	CAM	74.918	64,654.059
38	D2	19	CAM	75.223	58,644.566
39	D3	19	SYM	87.600	52,819.656
40	D4	19	SYM	87.600	47,384.922
41	D5	169	CAM	75.375	67,599.320
42	D6	169	CAM	75.375	67,623.516
43	D7	169	SYM	87.408	39,638.773
44	D8	169	SYM	87.256	26,782.488
44	D8	169	SYM	67.309	14,233.230
45	D9	52	CAM	75.258	67,334.750
46	D10	52	CAM	75.258	69,597.383
