* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = TAQMAN
* Date Created = 2022-11-14 13:15:53 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\Standard Curve_01.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2022-10-25 18:23:54 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	HIGHSD	SPIKE	NOAMP	BADROX	PRFLOW	PRFDROP	NOISE	EXPFAIL
1	A1	false	277	Cam	UNKNOWN	SYBR	None	Undetermined										true	0.203	true	3	34	No Amp		N	N	N	N	N	N	N	N
2	A2	false	277	Cam	UNKNOWN	SYBR	None	Undetermined										true	0.203	true	3	35	No Amp		N	N	N	N	N	N	N	N
3	A3	false	277	Pax	UNKNOWN	SYBR	None	Undetermined	37.178									true	0.315	true	3	25	No Amp		N	N	Y	N	N	N	N	N
4	A4	false	277	Pax	UNKNOWN	SYBR	None	37.178	37.178									true	0.315	true	3	32	Amp		N	N	N	N	N	N	N	N
5	A5	false	277	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.281	true	3	39	No Amp		N	N	Y	N	N	N	N	Y
6	A6	false	277	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.281	true	3	39	No Amp		N	N	N	N	N	N	N	Y
7	A7	false	381	Cam	UNKNOWN	SYBR	None	21.952	21.678	0.388								true	0.203	true	3	15	Amp		N	N	N	N	N	N	N	N
8	A8	false	381	Cam	UNKNOWN	SYBR	None	21.404	21.678	0.388								true	0.203	true	3	14	Amp		N	N	N	N	N	N	N	N
9	A9	false	381	Pax	UNKNOWN	SYBR	None	22.696	22.512	0.260								true	0.315	true	3	18	Amp		N	N	N	N	N	N	N	N
10	A10	false	381	Pax	UNKNOWN	SYBR	None	22.329	22.512	0.260								true	0.315	true	3	16	Amp		N	N	N	N	N	N	N	N
11	A11	false	381	Sym	UNKNOWN	SYBR	None	24.176	23.723	0.640								true	0.281	true	3	19	Amp		Y	N	N	N	N	N	N	N
12	A12	false	381	Sym	UNKNOWN	SYBR	None	23.271	23.723	0.640								true	0.281	true	3	16	Amp		Y	N	N	N	N	N	N	N
13	B1	false	414	Cam	UNKNOWN	SYBR	None	21.037	21.014	0.033								true	0.203	true	3	16	Amp		N	N	N	N	N	N	N	N
14	B2	false	414	Cam	UNKNOWN	SYBR	None	20.991	21.014	0.033								true	0.203	true	3	15	Amp		N	N	N	N	N	N	N	N
15	B3	false	414	Pax	UNKNOWN	SYBR	None	20.988	21.054	0.093								true	0.315	true	3	15	Amp		N	N	N	N	N	N	N	N
16	B4	false	414	Pax	UNKNOWN	SYBR	None	21.120	21.054	0.093								true	0.315	true	3	15	Amp		N	N	N	N	N	N	N	N
17	B5	false	414	Sym	UNKNOWN	SYBR	None	24.439	24.258	0.257								true	0.281	true	3	20	Amp		N	N	N	N	N	N	N	N
18	B6	false	414	Sym	UNKNOWN	SYBR	None	24.076	24.258	0.257								true	0.281	true	3	19	Amp		N	N	N	N	N	N	N	N
19	B7	false	439	Cam	UNKNOWN	SYBR	None	19.552	19.818	0.377								true	0.203	true	3	14	Amp		N	N	N	N	N	N	N	N
20	B8	false	439	Cam	UNKNOWN	SYBR	None	20.085	19.818	0.377								true	0.203	true	3	15	Amp		N	N	N	N	N	N	N	N
21	B9	false	439	Pax	UNKNOWN	SYBR	None	20.561	20.071	0.692								true	0.315	true	3	15	Amp		Y	N	N	N	N	N	N	N
22	B10	false	439	Pax	UNKNOWN	SYBR	None	19.582	20.071	0.692								true	0.315	true	3	13	Amp		Y	N	N	N	N	N	N	N
23	B11	false	439	Sym	UNKNOWN	SYBR	None	22.334	23.043	1.003								true	0.281	true	3	15	Amp		Y	N	N	N	N	N	N	N
24	B12	false	439	Sym	UNKNOWN	SYBR	None	23.752	23.043	1.003								true	0.281	true	3	18	Amp		Y	N	N	N	N	N	N	N
25	C1	false	404	Cam	UNKNOWN	SYBR	None	23.777	23.770	0.009								true	0.203	true	3	19	Amp		N	N	N	N	N	N	N	N
