* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-01-24 14:33:36 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\Acropora22_proj\Acer_plate5_11.28_meltcurve.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-11-28 13:14:19 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	DRNMIN	NOAMP	MTP	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
1	A1	false	296	CAM	UNKNOWN	SYBR	None	Undetermined	30.555									false	0.020	true	3	39	No Amp		0.000	N	N	N	N	Y	Y	68.215			
2	A2	false	296	CAM	UNKNOWN	SYBR	None	30.555	30.555									false	0.020	true	3	29	Amp		0.939	N	N	N	N	N	N	74.913			
3	A3	false	296	SYM	UNKNOWN	SYBR	None	9.395	9.395									false	0.020	true	3	4	No Amp		0.312	N	Y	N	N	Y	N	59.994			
4	A4	false	296	SYM	UNKNOWN	SYBR	None	Undetermined	9.395									false	0.020	true	3	20	No Amp		0.000	N	N	Y	N	Y	N	59.994			
5	A5	false	315	CAM	UNKNOWN	SYBR	None	32.238	32.238									false	0.020	true	3	30	Amp		0.942	N	N	N	Y	N	N	74.911	79.477		
6	A6	false	315	CAM	UNKNOWN	SYBR	None	Undetermined	32.238									false	0.020	true	3	30	No Amp		0.000	N	N	Y	N	Y	N	62.734			
7	A7	false	315	SYM	UNKNOWN	SYBR	None	26.523	26.872	0.493								false	0.020	true	3	24	Amp		0.576	N	N	N	Y	Y	N	82.533	87.864		
8	A8	false	315	SYM	UNKNOWN	SYBR	None	27.220	26.872	0.493								false	0.020	true	3	25	Amp		0.675	N	N	N	Y	Y	N	81.619	87.864	68.979	
9	A9	false	248	CAM	UNKNOWN	SYBR	None	20.773	20.398	0.530								false	0.020	true	3	19	Amp		0.673	Y	N	N	N	Y	N	75.255			
10	A10	false	248	CAM	UNKNOWN	SYBR	None	20.023	20.398	0.530								false	0.020	true	3	18	Amp		0.722	Y	N	N	N	Y	N	75.102			
11	A11	false	248	SYM	UNKNOWN	SYBR	None	18.258	18.094	0.232								false	0.020	true	3	16	Amp		0.450	N	N	N	N	Y	N	87.721			
12	A12	false	248	SYM	UNKNOWN	SYBR	None	17.930	18.094	0.232								false	0.020	true	3	15	Amp		0.637	N	N	N	N	Y	N	87.568			
13	B1	false	299	CAM	UNKNOWN	SYBR	None	23.478	23.576	0.139								false	0.020	true	3	21	Amp		0.652	N	N	N	N	Y	N	75.218			
14	B2	false	299	CAM	UNKNOWN	SYBR	None	23.675	23.576	0.139								false	0.020	true	3	21	Amp		0.536	N	N	N	N	Y	N	75.066			
