* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 02-23-2023
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 02-23-2023
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-23-2023
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 02-23-2023
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 02-23-2023
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-23-2023
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 02-23-2023
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 02-23-2023
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-23-2023
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-23-2023
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-23-2023
* Chemistry = TAQMAN
* Date Created = 2023-03-06 12:41:30 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\sm_20230301.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2023-03-01 19:53:40 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	HIGHSD	NOAMP	EXPFAIL
1	A1	false	1a	C	UNKNOWN	VIC	NFQ-MGB	34.705	34.176	0.748								false	0.020	true	3	33	Amp		Y	N	N
1	A1	false	1a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	N	Y
2	A2	false	1a	C	UNKNOWN	VIC	NFQ-MGB	33.648	34.176	0.748								false	0.020	true	3	31	Amp		Y	N	N
2	A2	false	1a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
3	A3	false	9a	C	UNKNOWN	VIC	NFQ-MGB	34.600	34.528	0.102								false	0.020	true	3	32	Amp		N	N	N
3	A3	false	9a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
4	A4	false	9a	C	UNKNOWN	VIC	NFQ-MGB	34.456	34.528	0.102								false	0.020	true	3	32	Amp		N	N	N
4	A4	false	9a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
5	A5	false	17a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
5	A5	false	17a	D	UNKNOWN	FAM	NFQ-MGB	35.416	35.269	0.207								false	0.020	true	3	33	Inconclusive		N	N	N
6	A6	false	17a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
6	A6	false	17a	D	UNKNOWN	FAM	NFQ-MGB	35.122	35.269	0.207								false	0.020	true	3	32	Inconclusive		N	N	N
7	A7	false	25a	C	UNKNOWN	VIC	NFQ-MGB	35.591	36.097	0.716								false	0.020	true	3	33	Amp		Y	N	N
7	A7	false	25a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
8	A8	false	25a	C	UNKNOWN	VIC	NFQ-MGB	36.604	36.097	0.716								false	0.020	true	3	35	Amp		Y	N	N
8	A8	false	25a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
9	A9	false	33a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
9	A9	false	33a	D	UNKNOWN	FAM	NFQ-MGB	33.461	35.540	2.940								false	0.020	true	3	32	Amp		Y	N	N
10	A10	false	33a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
10	A10	false	33a	D	UNKNOWN	FAM	NFQ-MGB	37.620	35.540	2.940								false	0.020	true	3	35	Inconclusive		Y	N	N
11	A11	false	41a	C	UNKNOWN	VIC	NFQ-MGB	37.419	37.419									false	0.020	true	3	34	Amp		N	N	N
11	A11	false	41a	D	UNKNOWN	FAM	NFQ-MGB	31.749	31.749									false	0.020	true	3	30	Amp		N	N	N
12	A12	false	41a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	37.419									false	0.020	true	3	39	No Amp		N	Y	Y
12	A12	false	41a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	31.749									false	0.020	true	3	39	No Amp		N	N	Y
13	B1	false	2a	C	UNKNOWN	VIC	NFQ-MGB	38.744	39.344	0.849								false	0.020	true	3	35	Amp		Y	N	N
13	B1	false	2a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
14	B2	false	2a	C	UNKNOWN	VIC	NFQ-MGB	39.945	39.344	0.849								false	0.020	true	3	39	Amp		Y	N	Y
14	B2	false	2a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
15	B3	false	10a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
15	B3	false	10a	D	UNKNOWN	FAM	NFQ-MGB	31.877	31.851	0.036								false	0.020	true	3	30	Amp		N	N	N
16	B4	false	10a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	Inconclusive		N	Y	Y
16	B4	false	10a	D	UNKNOWN	FAM	NFQ-MGB	31.826	31.851	0.036								false	0.020	true	3	29	Amp		N	N	N
17	B5	false	18a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
17	B5	false	18a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
18	B6	false	18a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
18	B6	false	18a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
19	B7	false	26a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
19	B7	false	26a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
20	B8	false	26a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
20	B8	false	26a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	N	Y
21	B9	false	34a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
21	B9	false	34a	D	UNKNOWN	FAM	NFQ-MGB	31.259	30.936	0.456								false	0.020	true	3	29	Amp		N	N	N
22	B10	false	34a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
22	B10	false	34a	D	UNKNOWN	FAM	NFQ-MGB	30.614	30.936	0.456								false	0.020	true	3	28	Amp		N	N	N
23	B11	false	46a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
23	B11	false	46a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
24	B12	false	46a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
24	B12	false	46a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
25	C1	false	3a	C	UNKNOWN	VIC	NFQ-MGB	38.660	38.384	0.390								false	0.020	true	3	35	Inconclusive		N	N	N
25	C1	false	3a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	N	Y
26	C2	false	3a	C	UNKNOWN	VIC	NFQ-MGB	38.109	38.384	0.390								false	0.020	true	3	34	Amp		N	N	N
26	C2	false	3a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
27	C3	false	11a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
27	C3	false	11a	D	UNKNOWN	FAM	NFQ-MGB	32.065	31.647	0.590								false	0.020	true	3	29	Amp		Y	N	N
28	C4	false	11a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	Amp		N	Y	Y
28	C4	false	11a	D	UNKNOWN	FAM	NFQ-MGB	31.230	31.647	0.590								false	0.020	true	3	29	Amp		Y	N	N
29	C5	false	19a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
29	C5	false	19a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
30	C6	false	19a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
30	C6	false	19a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
31	C7	false	27a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.214									false	0.020	true	3	39	Amp		N	Y	Y
31	C7	false	27a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
32	C8	false	27a	C	UNKNOWN	VIC	NFQ-MGB	38.214	38.214									false	0.020	true	3	35	Amp		N	N	N
32	C8	false	27a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
33	C9	false	35a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
33	C9	false	35a	D	UNKNOWN	FAM	NFQ-MGB	31.862	32.715	1.205								false	0.020	true	3	29	Amp		Y	N	N
34	C10	false	35a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
34	C10	false	35a	D	UNKNOWN	FAM	NFQ-MGB	33.567	32.715	1.205								false	0.020	true	3	32	Amp		Y	N	N
35	C11	false	47a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
35	C11	false	47a	D	UNKNOWN	FAM	NFQ-MGB	32.324	32.655	0.468								false	0.020	true	3	30	Amp		N	N	N
36	C12	false	47a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
36	C12	false	47a	D	UNKNOWN	FAM	NFQ-MGB	32.986	32.655	0.468								false	0.020	true	3	31	Amp		N	N	N
37	D1	false	4a	C	UNKNOWN	VIC	NFQ-MGB	37.562	37.359	0.287								false	0.020	true	3	35	Amp		N	N	N
37	D1	false	4a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
38	D2	false	4a	C	UNKNOWN	VIC	NFQ-MGB	37.156	37.359	0.287								false	0.020	true	3	34	Amp		N	N	N
38	D2	false	4a	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	Y
39	D3	false	12a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	N	Y
39	D3	false	12a	D	UNKNOWN	FAM	NFQ-MGB	32.793	32.545	0.352								false	0.020	true	3	31	Amp		N	N	N
40	D4	false	12a	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	Inconclusive		N	N	Y
40	D4	false	12a	D	UNKNOWN	FAM	NFQ-MGB	32.296	32.545	0.352								false	0.020	true	3	30	Amp		N	N	N
41	D5	false	20a	C	UNKNOWN	VIC	NFQ-MGB	39.347	39.290	0.080								false	0.020	true	3	35	Inconclusive		N	N	N
