"","Sample.Name","File.Name","C.CT.mean","D.CT.mean","C.CT.sd","D.CT.sd","C.reps","D.reps","C.D"
"1","10a","sm_20230301.txt",NA,30.8515,NA,0.0360624458405128,0,2,NA
"2","11a","sm_20230301.txt",NA,30.6475,NA,0.590434162290765,0,2,NA
"3","12a","sm_20230301.txt",NA,31.5445,NA,0.351432070249714,0,2,NA
"4","13a","sm_20230301.txt",NA,36.7745,NA,0.584777308041279,0,2,NA
"5","14a","sm_20230301.txt",35.418,NA,1.11015764646288,NA,2,0,NA
"6","15a","sm_20230301.txt",NA,29.2815,NA,0.334461507501236,0,2,NA
"7","16a","sm_20230301.txt",34.294,NA,0.0395979797464448,NA,2,0,NA
"8","17a","sm_20230301.txt",NA,34.269,NA,0.207889393668843,0,2,NA
"9","18a","sm_20230301.txt",NA,NA,NA,NA,0,0,NA
"10","19a","sm_20230301.txt",NA,NA,NA,NA,0,0,NA
"11","1a","sm_20230301.txt",31.9425,NA,0.747411867714177,NA,2,0,NA
"12","20a","sm_20230301.txt",37.056,31.1375,0.0806101730552695,0.358503138061578,2,2,0.00247996316179643
"13","21a","sm_20230301.txt",34.0305,NA,0.399515331370398,NA,2,0,NA
"14","22a","sm_20230301.txt",32.303,NA,0.507702668891944,NA,2,0,NA
"15","23a","sm_20230301.txt",NA,31.632,NA,0.224859956417321,0,2,NA
"16","24a","sm_20230301.txt",33.848,NA,0.106066017177981,NA,2,0,NA
"17","25a","sm_20230301.txt",33.8635,NA,0.716299169341971,NA,2,0,NA
"18","26a","sm_20230301.txt",NA,NA,NA,NA,0,0,NA
"19","27a","sm_20230301.txt",35.98,NA,NA,NA,1,0,NA
"20","28a","sm_20230301.txt",34.5,30.985,0.46103362133363,0.45820519420888,2,2,0.013121117489955
"21","29a","sm_20230301.txt",34.2425,NA,0.0912167747730631,NA,2,0,NA
"22","2a","sm_20230301.txt",37.1105,NA,0.849235244205044,NA,2,0,NA
"23","30a","sm_20230301.txt",NA,31.959,NA,NA,0,1,NA
"24","31a","sm_20230301.txt",NA,NA,NA,NA,0,0,NA
"25","33a","sm_20230301.txt",NA,34.5405,NA,2.94085710295485,0,2,NA
"26","34a","sm_20230301.txt",NA,29.9365,NA,0.456083873865323,0,2,NA
"27","35a","sm_20230301.txt",NA,31.7145,NA,1.20561706192306,0,2,NA
"28","36a","sm_20230301.txt",NA,29.863,NA,NA,0,1,NA
"29","37a","sm_20230301.txt",NA,30.5745,NA,4.10616907835028,0,2,NA
"30","38a","sm_20230301.txt",NA,29.6865,NA,0.126572113832391,0,2,NA
"31","3a","sm_20230301.txt",36.1505,NA,0.389615836433784,NA,2,0,NA
"32","40a","sm_20230301.txt",NA,30.9225,NA,0.0601040764008571,0,2,NA
"33","41a","sm_20230301.txt",35.185,30.749,NA,NA,1,1,0.00692982389659615
"34","46a","sm_20230301.txt",NA,NA,NA,NA,0,0,NA
